ID,URL,Title,Difficulty,Acceptance %,Frequency %
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,67.9%,100.0%
2791,https://leetcode.com/problems/count-paths-that-can-form-a-palindrome-in-a-tree,Count Paths That Can Form a Palindrome in a Tree,Hard,51.8%,100.0%
269,https://leetcode.com/problems/alien-dictionary,Alien Dictionary,Hard,37.2%,97.1%
2858,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,Minimum Edge Reversals So Every Node Is Reachable,Hard,59.1%,97.1%
305,https://leetcode.com/problems/number-of-islands-ii,Number of Islands II,Hard,40.5%,94.9%
1429,https://leetcode.com/problems/first-unique-number,First Unique Number,Medium,57.4%,94.9%
1438,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,Medium,57.6%,92.4%
427,https://leetcode.com/problems/construct-quad-tree,Construct Quad Tree,Medium,78.2%,89.7%
815,https://leetcode.com/problems/bus-routes,Bus Routes,Hard,47.3%,89.7%
1861,https://leetcode.com/problems/rotating-the-box,Rotating the Box,Medium,79.1%,87.5%
3161,https://leetcode.com/problems/block-placement-queries,Block Placement Queries,Hard,17.0%,87.5%
362,https://leetcode.com/problems/design-hit-counter,Design Hit Counter,Medium,69.7%,84.9%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,81.1%
977,https://leetcode.com/problems/squares-of-a-sorted-array,Squares of a Sorted Array,Easy,73.7%,81.1%
1101,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,The Earliest Moment When Everyone Become Friends,Medium,66.0%,81.1%
79,https://leetcode.com/problems/word-search,Word Search,Medium,47.2%,76.5%
1428,https://leetcode.com/problems/leftmost-column-with-at-least-a-one,Leftmost Column with at Least a One,Medium,55.2%,76.5%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,46.7%,75.0%
490,https://leetcode.com/problems/the-maze,The Maze,Medium,59.6%,75.0%
505,https://leetcode.com/problems/the-maze-ii,The Maze II,Medium,54.2%,75.0%
2768,https://leetcode.com/problems/number-of-black-blocks,Number of Black Blocks,Medium,38.9%,75.0%
3466,https://leetcode.com/problems/maximum-coin-collection,Maximum Coin Collection,Medium,52.5%,75.0%
