ID,URL,Title,Difficulty,Acceptance %,Frequency %
729,https://leetcode.com/problems/my-calendar-i,My Calendar I,Medium,58.2%,100.0%
2791,https://leetcode.com/problems/count-paths-that-can-form-a-palindrome-in-a-tree,Count Paths That Can Form a Palindrome in a Tree,Hard,51.8%,100.0%
2858,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,Minimum Edge Reversals So Every Node Is Reachable,Hard,59.1%,100.0%
269,https://leetcode.com/problems/alien-dictionary,Alien Dictionary,Hard,37.2%,91.0%
305,https://leetcode.com/problems/number-of-islands-ii,Number of Islands II,Hard,40.5%,88.7%
1438,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,Medium,57.6%,88.7%
490,https://leetcode.com/problems/the-maze,The Maze,Medium,59.6%,87.5%
505,https://leetcode.com/problems/the-maze-ii,The Maze II,Medium,54.2%,87.5%
427,https://leetcode.com/problems/construct-quad-tree,Construct Quad Tree,Medium,78.2%,86.2%
815,https://leetcode.com/problems/bus-routes,Bus Routes,Hard,47.3%,86.2%
1429,https://leetcode.com/problems/first-unique-number,First Unique Number,Medium,57.4%,86.2%
362,https://leetcode.com/problems/design-hit-counter,Design Hit Counter,Medium,69.7%,83.4%
977,https://leetcode.com/problems/squares-of-a-sorted-array,Squares of a Sorted Array,Easy,73.7%,76.5%
1101,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,The Earliest Moment When Everyone Become Friends,Medium,66.0%,76.5%
1428,https://leetcode.com/problems/leftmost-column-with-at-least-a-one,Leftmost Column with at Least a One,Medium,55.2%,76.5%
1475,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop,Final Prices With a Special Discount in a Shop,Easy,84.1%,76.5%
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,46.9%,72.2%
230,https://leetcode.com/problems/kth-smallest-element-in-a-bst,Kth Smallest Element in a BST,Medium,76.7%,72.2%
79,https://leetcode.com/problems/word-search,Word Search,Medium,47.2%,66.8%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,66.8%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,66.8%
827,https://leetcode.com/problems/making-a-large-island,Making A Large Island,Hard,56.5%,66.8%
864,https://leetcode.com/problems/shortest-path-to-get-all-keys,Shortest Path to Get All Keys,Hard,54.5%,66.8%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,49.9%,66.8%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.8%,63.4%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,47.6%,62.5%
153,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,Find Minimum in Rotated Sorted Array,Medium,52.8%,62.5%
399,https://leetcode.com/problems/evaluate-division,Evaluate Division,Medium,63.2%,62.5%
564,https://leetcode.com/problems/find-the-closest-palindrome,Find the Closest Palindrome,Hard,31.7%,62.5%
1861,https://leetcode.com/problems/rotating-the-box,Rotating the Box,Medium,79.1%,62.5%
2603,https://leetcode.com/problems/collect-coins-in-a-tree,Collect Coins in a Tree,Hard,37.1%,62.5%
3071,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,Minimum Operations to Write the Letter Y on a Grid,Medium,62.2%,62.5%
3161,https://leetcode.com/problems/block-placement-queries,Block Placement Queries,Hard,17.0%,62.5%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.3%,60.0%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.4%,60.0%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.3%,60.0%
502,https://leetcode.com/problems/ipo,IPO,Hard,53.5%,60.0%
855,https://leetcode.com/problems/exam-room,Exam Room,Medium,43.4%,60.0%
2571,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,Minimum Operations to Reduce an Integer to 0,Medium,62.0%,60.0%
2861,https://leetcode.com/problems/maximum-number-of-alloys,Maximum Number of Alloys,Medium,40.8%,60.0%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,54.5%,53.3%
802,https://leetcode.com/problems/find-eventual-safe-states,Find Eventual Safe States,Medium,70.7%,53.3%
2477,https://leetcode.com/problems/minimum-fuel-cost-to-report-to-the-capital,Minimum Fuel Cost to Report to the Capital,Medium,65.4%,53.3%
871,https://leetcode.com/problems/minimum-number-of-refueling-stops,Minimum Number of Refueling Stops,Hard,41.6%,52.8%
1915,https://leetcode.com/problems/number-of-wonderful-substrings,Number of Wonderful Substrings,Medium,66.6%,52.8%
1966,https://leetcode.com/problems/binary-searchable-numbers-in-an-unsorted-array,Binary Searchable Numbers in an Unsorted Array,Medium,64.0%,52.8%
2503,https://leetcode.com/problems/maximum-number-of-points-from-grid-queries,Maximum Number of Points From Grid Queries,Hard,59.3%,52.8%
2948,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,Make Lexicographically Smallest Array by Swapping Elements,Medium,60.3%,52.8%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,50.4%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,50.4%
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,38.4%,50.4%
384,https://leetcode.com/problems/shuffle-an-array,Shuffle an Array,Medium,59.7%,50.4%
410,https://leetcode.com/problems/split-array-largest-sum,Split Array Largest Sum,Hard,60.3%,50.4%
545,https://leetcode.com/problems/boundary-of-binary-tree,Boundary of Binary Tree,Medium,48.1%,50.4%
679,https://leetcode.com/problems/24-game,24 Game,Hard,59.5%,50.4%
719,https://leetcode.com/problems/find-k-th-smallest-pair-distance,Find K-th Smallest Pair Distance,Hard,46.5%,50.4%
987,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,Vertical Order Traversal of a Binary Tree,Hard,53.6%,50.4%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.5%,50.4%
1197,https://leetcode.com/problems/minimum-knight-moves,Minimum Knight Moves,Medium,41.9%,50.4%
1244,https://leetcode.com/problems/design-a-leaderboard,Design A Leaderboard,Medium,68.1%,50.4%
1931,https://leetcode.com/problems/painting-a-grid-with-three-different-colors,Painting a Grid With Three Different Colors,Hard,77.1%,50.4%
2092,https://leetcode.com/problems/find-all-people-with-secret,Find All People With Secret,Hard,48.4%,50.4%
2389,https://leetcode.com/problems/longest-subsequence-with-limited-sum,Longest Subsequence With Limited Sum,Easy,73.5%,50.4%
2402,https://leetcode.com/problems/meeting-rooms-iii,Meeting Rooms III,Hard,51.5%,50.4%
2561,https://leetcode.com/problems/rearranging-fruits,Rearranging Fruits,Hard,57.3%,50.4%
2954,https://leetcode.com/problems/count-the-number-of-infection-sequences,Count the Number of Infection Sequences,Hard,37.3%,50.4%
