ID,URL,Title,Difficulty,Acceptance %,Frequency %
1036,https://leetcode.com/problems/escape-a-large-maze,Escape a Large Maze,Hard,36.5%,100.0%
1162,https://leetcode.com/problems/as-far-from-land-as-possible,As Far from Land as Possible,Medium,52.3%,100.0%
2826,https://leetcode.com/problems/sorting-three-groups,Sorting Three Groups,Medium,43.0%,100.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,62.5%,75.0%
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,70.8%,71.9%
968,https://leetcode.com/problems/binary-tree-cameras,Binary Tree Cameras,Hard,48.1%,64.2%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,62.4%
312,https://leetcode.com/problems/burst-balloons,Burst Balloons,Hard,63.3%,62.4%
424,https://leetcode.com/problems/longest-repeating-character-replacement,Longest Repeating Character Replacement,Medium,59.5%,62.4%
827,https://leetcode.com/problems/making-a-large-island,Making A Large Island,Hard,56.5%,62.4%
881,https://leetcode.com/problems/boats-to-save-people,Boats to Save People,Medium,61.7%,62.4%
990,https://leetcode.com/problems/satisfiability-of-equality-equations,Satisfiability of Equality Equations,Medium,51.8%,62.4%
2603,https://leetcode.com/problems/collect-coins-in-a-tree,Collect Coins in a Tree,Hard,40.0%,62.4%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,58.1%,62.3%
90,https://leetcode.com/problems/subsets-ii,Subsets II,Medium,61.5%,60.7%
143,https://leetcode.com/problems/reorder-list,Reorder List,Medium,65.6%,60.7%
354,https://leetcode.com/problems/russian-doll-envelopes,Russian Doll Envelopes,Hard,38.0%,60.7%
