ID,URL,Title,Difficulty,Acceptance %,Frequency %
986,https://leetcode.com/problems/interval-list-intersections,Interval List Intersections,Medium,73.0%,100.0%
1235,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Maximum Profit in Job Scheduling,Hard,54.7%,97.8%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,49.9%,89.7%
435,https://leetcode.com/problems/non-overlapping-intervals,Non-overlapping Intervals,Medium,57.0%,86.1%
1146,https://leetcode.com/problems/snapshot-array,Snapshot Array,Medium,36.7%,86.1%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,82.0%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,46.8%,82.0%
1233,https://leetcode.com/problems/remove-sub-folders-from-the-filesystem,Remove Sub-Folders from the Filesystem,Medium,78.6%,82.0%
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,70.8%,76.9%
867,https://leetcode.com/problems/transpose-matrix,Transpose Matrix,Easy,76.2%,76.9%
36,https://leetcode.com/problems/valid-sudoku,Valid Sudoku,Medium,64.4%,70.3%
191,https://leetcode.com/problems/number-of-1-bits,Number of 1 Bits,Easy,76.7%,70.3%
772,https://leetcode.com/problems/basic-calculator-iii,Basic Calculator III,Hard,53.3%,70.3%
661,https://leetcode.com/problems/image-smoother,Image Smoother,Easy,68.4%,62.5%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,56.8%,62.5%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.4%,61.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,61.0%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,54.7%,61.0%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,49.0%,61.0%
543,https://leetcode.com/problems/diameter-of-binary-tree,Diameter of Binary Tree,Easy,65.4%,61.0%
843,https://leetcode.com/problems/guess-the-word,Guess the Word,Hard,36.8%,61.0%
