ID,URL,Title,Difficulty,Acceptance %,Frequency %
1235,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Maximum Profit in Job Scheduling",Hard,54.7%,100.0%
146,https://leetcode.com/problems/lru-cache,"LRU Cache",Medium,47.2%,89.9%
227,https://leetcode.com/problems/basic-calculator-ii,"Basic Calculator II",Medium,46.8%,89.9%
867,https://leetcode.com/problems/transpose-matrix,"Transpose Matrix",Easy,76.2%,89.9%
981,https://leetcode.com/problems/time-based-key-value-store,"Time Based Key-Value Store",Medium,49.9%,89.9%
1146,https://leetcode.com/problems/snapshot-array,"Snapshot Array",Medium,36.7%,89.9%
191,https://leetcode.com/problems/number-of-1-bits,"Number of 1 Bits",Easy,76.7%,82.7%
435,https://leetcode.com/problems/non-overlapping-intervals,"Non-overlapping Intervals",Medium,57.0%,82.7%
986,https://leetcode.com/problems/interval-list-intersections,"Interval List Intersections",Medium,73.0%,82.7%
1233,https://leetcode.com/problems/remove-sub-folders-from-the-filesystem,"Remove Sub-Folders from the Filesystem",Medium,78.6%,82.7%
23,https://leetcode.com/problems/merge-k-sorted-lists,"Merge k Sorted Lists",Hard,57.0%,75.0%
843,https://leetcode.com/problems/guess-the-word,"Guess the Word",Hard,37.6%,75.0%
36,https://leetcode.com/problems/valid-sudoku,"Valid Sudoku",Medium,64.4%,72.6%
88,https://leetcode.com/problems/merge-sorted-array,"Merge Sorted Array",Easy,54.7%,72.6%
543,https://leetcode.com/problems/diameter-of-binary-tree,"Diameter of Binary Tree",Easy,65.4%,72.6%
772,https://leetcode.com/problems/basic-calculator-iii,"Basic Calculator III",Hard,53.3%,72.6%
661,https://leetcode.com/problems/image-smoother,"Image Smoother",Easy,68.4%,62.5%
