ID,URL,Title,Difficulty,Acceptance %,Frequency %
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,50.9%,100.0%
3459,https://leetcode.com/problems/length-of-longest-v-shaped-diagonal-segment,Length of Longest V-Shaped Diagonal Segment,Hard,56.2%,98.0%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,95.8%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,93.3%
1861,https://leetcode.com/problems/rotating-the-box,Rotating the Box,Medium,79.2%,93.3%
3046,https://leetcode.com/problems/split-the-array,Split the Array,Easy,61.2%,93.3%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,92.0%
3071,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,Minimum Operations to Write the Letter Y on a Grid,Medium,64.5%,92.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,89.1%
3043,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,Find the Length of the Longest Common Prefix,Medium,57.1%,85.9%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,84.1%
1389,https://leetcode.com/problems/create-target-array-in-the-given-order,Create Target Array in the Given Order,Easy,86.5%,84.1%
3161,https://leetcode.com/problems/block-placement-queries,Block Placement Queries,Hard,18.5%,82.2%
2768,https://leetcode.com/problems/number-of-black-blocks,Number of Black Blocks,Medium,41.7%,80.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,77.7%
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,50.4%,77.7%
1025,https://leetcode.com/problems/divisor-game,Divisor Game,Easy,71.8%,77.7%
1353,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,Maximum Number of Events That Can Be Attended,Medium,39.0%,77.7%
2049,https://leetcode.com/problems/count-nodes-with-the-highest-score,Count Nodes With the Highest Score,Medium,52.7%,77.7%
2078,https://leetcode.com/problems/two-furthest-houses-with-different-colors,Two Furthest Houses With Different Colors,Easy,71.8%,77.7%
2136,https://leetcode.com/problems/earliest-possible-day-of-full-bloom,Earliest Possible Day of Full Bloom,Hard,71.2%,77.7%
2451,https://leetcode.com/problems/odd-string-difference,Odd String Difference,Easy,61.9%,77.7%
2672,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,Number of Adjacent Elements With the Same Color,Medium,59.4%,77.7%
3078,https://leetcode.com/problems/match-alphanumerical-pattern-in-matrix-i,Match Alphanumerical Pattern in Matrix I,Medium,64.5%,77.7%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,75.2%
3915,https://leetcode.com/problems/maximum-sum-of-alternating-subsequence-with-distance-at-least-k,Maximum Sum of Alternating Subsequence With Distance at Least K,Hard,32.1%,72.8%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,72.3%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,72.3%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,72.3%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,49.7%,72.3%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.4%,65.3%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,65.3%
539,https://leetcode.com/problems/minimum-time-difference,Minimum Time Difference,Medium,62.6%,65.3%
2817,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,Minimum Absolute Difference Between Elements With Constraint,Medium,37.5%,65.3%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,60.9%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,79.6%,60.9%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,56.6%,60.9%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,80.5%,60.9%
286,https://leetcode.com/problems/walls-and-gates,Walls and Gates,Medium,63.9%,60.9%
2964,https://leetcode.com/problems/number-of-divisible-triplet-sums,Number of Divisible Triplet Sums,Medium,67.5%,60.9%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,68.2%,55.5%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,69.5%,55.5%
93,https://leetcode.com/problems/restore-ip-addresses,Restore IP Addresses,Medium,55.8%,55.5%
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,47.9%,55.5%
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,59.5%,55.5%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.3%,55.5%
1314,https://leetcode.com/problems/matrix-block-sum,Matrix Block Sum,Medium,76.5%,55.5%
1438,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,Medium,57.6%,55.5%
3019,https://leetcode.com/problems/number-of-changing-keys,Number of Changing Keys,Easy,80.6%,55.5%
3552,https://leetcode.com/problems/grid-teleportation-traversal,Grid Teleportation Traversal,Medium,23.5%,55.5%
3649,https://leetcode.com/problems/number-of-perfect-pairs,Number of Perfect Pairs,Medium,33.9%,55.5%
3651,https://leetcode.com/problems/minimum-cost-path-with-teleportations,Minimum Cost Path with Teleportations,Hard,45.6%,55.5%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,65.0%,50.0%
2466,https://leetcode.com/problems/count-ways-to-build-good-strings,Count Ways To Build Good Strings,Medium,58.9%,48.7%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.9%,48.6%
32,https://leetcode.com/problems/longest-valid-parentheses,Longest Valid Parentheses,Hard,38.6%,48.6%
67,https://leetcode.com/problems/add-binary,Add Binary,Easy,57.9%,48.6%
110,https://leetcode.com/problems/balanced-binary-tree,Balanced Binary Tree,Easy,58.2%,48.6%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,71.0%,48.6%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,45.4%,48.6%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,68.8%,48.6%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,54.4%,48.6%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.3%,48.6%
415,https://leetcode.com/problems/add-strings,Add Strings,Easy,52.1%,48.6%
543,https://leetcode.com/problems/diameter-of-binary-tree,Diameter of Binary Tree,Easy,65.4%,48.6%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.2%,48.6%
661,https://leetcode.com/problems/image-smoother,Image Smoother,Easy,69.2%,48.6%
723,https://leetcode.com/problems/candy-crush,Candy Crush,Medium,77.4%,48.6%
792,https://leetcode.com/problems/number-of-matching-subsequences,Number of Matching Subsequences,Medium,50.6%,48.6%
1648,https://leetcode.com/problems/sell-diminishing-valued-colored-balls,Sell Diminishing-Valued Colored Balls,Medium,30.2%,48.6%
2491,https://leetcode.com/problems/divide-players-into-teams-of-equal-skill,Divide Players Into Teams of Equal Skill,Medium,68.9%,48.6%
636,https://leetcode.com/problems/exclusive-time-of-functions,Exclusive Time of Functions,Medium,66.2%,48.5%
1963,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,Minimum Number of Swaps to Make the String Balanced,Medium,78.0%,48.5%
2680,https://leetcode.com/problems/maximum-or,Maximum OR,Medium,43.0%,48.5%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.4%,39.0%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,65.9%,39.0%
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,65.9%,39.0%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.4%,39.0%
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,66.8%,39.0%
66,https://leetcode.com/problems/plus-one,Plus One,Easy,49.9%,39.0%
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,60.5%,39.0%
79,https://leetcode.com/problems/word-search,Word Search,Medium,47.2%,39.0%
85,https://leetcode.com/problems/maximal-rectangle,Maximal Rectangle,Hard,58.6%,39.0%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,54.7%,39.0%
102,https://leetcode.com/problems/binary-tree-level-order-traversal,Binary Tree Level Order Traversal,Medium,72.9%,39.0%
123,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,Best Time to Buy and Sell Stock III,Hard,53.6%,39.0%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,53.2%,39.0%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.1%,39.0%
129,https://leetcode.com/problems/sum-root-to-leaf-numbers,Sum Root to Leaf Numbers,Medium,69.9%,39.0%
131,https://leetcode.com/problems/palindrome-partitioning,Palindrome Partitioning,Medium,73.9%,39.0%
135,https://leetcode.com/problems/candy,Candy,Hard,48.3%,39.0%
139,https://leetcode.com/problems/word-break,Word Break,Medium,49.4%,39.0%
140,https://leetcode.com/problems/word-break-ii,Word Break II,Hard,55.4%,39.0%
151,https://leetcode.com/problems/reverse-words-in-a-string,Reverse Words in a String,Medium,56.2%,39.0%
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,46.9%,39.0%
167,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,Two Sum II - Input Array Is Sorted,Medium,64.9%,39.0%
179,https://leetcode.com/problems/largest-number,Largest Number,Medium,42.9%,39.0%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,44.8%,39.0%
199,https://leetcode.com/problems/binary-tree-right-side-view,Binary Tree Right Side View,Medium,70.0%,39.0%
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,38.6%,39.0%
213,https://leetcode.com/problems/house-robber-ii,House Robber II,Medium,44.8%,39.0%
214,https://leetcode.com/problems/shortest-palindrome,Shortest Palindrome,Hard,42.4%,39.0%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.9%,39.0%
217,https://leetcode.com/problems/contains-duplicate,Contains Duplicate,Easy,64.3%,39.0%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,48.7%,39.0%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,68.0%,39.0%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.6%,39.0%
258,https://leetcode.com/problems/add-digits,Add Digits,Easy,68.9%,39.0%
264,https://leetcode.com/problems/ugly-number-ii,Ugly Number II,Medium,49.6%,39.0%
300,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,Medium,59.3%,39.0%
332,https://leetcode.com/problems/reconstruct-itinerary,Reconstruct Itinerary,Hard,44.5%,39.0%
345,https://leetcode.com/problems/reverse-vowels-of-a-string,Reverse Vowels of a String,Easy,61.1%,39.0%
387,https://leetcode.com/problems/first-unique-character-in-a-string,First Unique Character in a String,Easy,65.4%,39.0%
416,https://leetcode.com/problems/partition-equal-subset-sum,Partition Equal Subset Sum,Medium,49.4%,39.0%
435,https://leetcode.com/problems/non-overlapping-intervals,Non-overlapping Intervals,Medium,57.0%,39.0%
451,https://leetcode.com/problems/sort-characters-by-frequency,Sort Characters By Frequency,Medium,75.3%,39.0%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,49.0%,39.0%
503,https://leetcode.com/problems/next-greater-element-ii,Next Greater Element II,Medium,68.2%,39.0%
680,https://leetcode.com/problems/valid-palindrome-ii,Valid Palindrome II,Easy,44.2%,39.0%
733,https://leetcode.com/problems/flood-fill,Flood Fill,Easy,68.1%,39.0%
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,68.6%,39.0%
796,https://leetcode.com/problems/rotate-string,Rotate String,Easy,65.4%,39.0%
846,https://leetcode.com/problems/hand-of-straights,Hand of Straights,Medium,57.9%,39.0%
974,https://leetcode.com/problems/subarray-sums-divisible-by-k,Subarray Sums Divisible by K,Medium,56.2%,39.0%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.5%,39.0%
1046,https://leetcode.com/problems/last-stone-weight,Last Stone Weight,Easy,66.4%,39.0%
1143,https://leetcode.com/problems/longest-common-subsequence,Longest Common Subsequence,Medium,59.3%,39.0%
1497,https://leetcode.com/problems/check-if-array-pairs-are-divisible-by-k,Check If Array Pairs Are Divisible by k,Medium,46.2%,39.0%
1743,https://leetcode.com/problems/restore-the-array-from-adjacent-pairs,Restore the Array From Adjacent Pairs,Medium,75.0%,39.0%
1752,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,Check if Array Is Sorted and Rotated,Easy,56.0%,39.0%
1876,https://leetcode.com/problems/substrings-of-size-three-with-distinct-characters,Substrings of Size Three with Distinct Characters,Easy,76.7%,39.0%
1922,https://leetcode.com/problems/count-good-numbers,Count Good Numbers,Medium,57.6%,39.0%
2021,https://leetcode.com/problems/brightest-position-on-street,Brightest Position on Street,Medium,60.6%,39.0%
2439,https://leetcode.com/problems/minimize-maximum-of-array,Minimize Maximum of Array,Medium,46.6%,39.0%
2502,https://leetcode.com/problems/design-memory-allocator,Design Memory Allocator,Medium,50.1%,39.0%
2530,https://leetcode.com/problems/maximal-score-after-applying-k-operations,Maximal Score After Applying K Operations,Medium,64.0%,39.0%
2544,https://leetcode.com/problems/alternating-digit-sum,Alternating Digit Sum,Easy,69.0%,39.0%
2583,https://leetcode.com/problems/kth-largest-sum-in-a-binary-tree,Kth Largest Sum in a Binary Tree,Medium,59.0%,39.0%
2593,https://leetcode.com/problems/find-score-of-an-array-after-marking-all-elements,Find Score of an Array After Marking All Elements,Medium,64.5%,39.0%
2771,https://leetcode.com/problems/longest-non-decreasing-subarray-from-two-arrays,Longest Non-decreasing Subarray From Two Arrays,Medium,31.3%,39.0%
3034,https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-i,Number of Subarrays That Match a Pattern I,Medium,68.5%,39.0%
3433,https://leetcode.com/problems/count-mentions-per-user,Count Mentions Per User,Medium,50.8%,39.0%
3652,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-using-strategy,Best Time to Buy and Sell Stock using Strategy,Medium,59.8%,39.0%
526,https://leetcode.com/problems/beautiful-arrangement,Beautiful Arrangement,Medium,64.8%,38.9%
