ID,URL,Title,Difficulty,Acceptance %,Frequency %
3459,https://leetcode.com/problems/length-of-longest-v-shaped-diagonal-segment,Length of Longest V-Shaped Diagonal Segment,Hard,56.2%,100.0%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,94.2%
1861,https://leetcode.com/problems/rotating-the-box,Rotating the Box,Medium,79.2%,94.2%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,92.9%
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,50.9%,91.4%
3071,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,Minimum Operations to Write the Letter Y on a Grid,Medium,64.5%,91.4%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,88.3%
3161,https://leetcode.com/problems/block-placement-queries,Block Placement Queries,Hard,18.5%,84.6%
2768,https://leetcode.com/problems/number-of-black-blocks,Number of Black Blocks,Medium,41.7%,82.6%
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,50.4%,80.3%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,80.3%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,80.3%
3046,https://leetcode.com/problems/split-the-array,Split the Array,Easy,61.2%,80.3%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,77.8%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,71.9%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,49.7%,71.9%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.4%,68.3%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,68.3%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,68.3%
2672,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,Number of Adjacent Elements With the Same Color,Medium,59.4%,68.3%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,64.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,64.0%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,80.5%,64.0%
539,https://leetcode.com/problems/minimum-time-difference,Minimum Time Difference,Medium,62.6%,64.0%
1389,https://leetcode.com/problems/create-target-array-in-the-given-order,Create Target Array in the Given Order,Easy,86.5%,64.0%
79,https://leetcode.com/problems/word-search,Word Search,Medium,45.4%,62.5%
796,https://leetcode.com/problems/rotate-string,Rotate String,Easy,64.1%,62.5%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,56.6%,58.7%
93,https://leetcode.com/problems/restore-ip-addresses,Restore IP Addresses,Medium,55.8%,58.7%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.3%,58.7%
286,https://leetcode.com/problems/walls-and-gates,Walls and Gates,Medium,63.9%,58.7%
1438,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,Medium,57.6%,58.7%
3552,https://leetcode.com/problems/grid-teleportation-traversal,Grid Teleportation Traversal,Medium,23.5%,58.7%
1314,https://leetcode.com/problems/matrix-block-sum,Matrix Block Sum,Medium,76.5%,58.4%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,80.3%,58.0%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,52.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.9%,52.0%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,68.2%,52.0%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,69.5%,52.0%
110,https://leetcode.com/problems/balanced-binary-tree,Balanced Binary Tree,Easy,58.2%,52.0%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,71.0%,52.0%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,45.4%,52.0%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,68.8%,52.0%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,54.4%,52.0%
543,https://leetcode.com/problems/diameter-of-binary-tree,Diameter of Binary Tree,Easy,65.4%,52.0%
661,https://leetcode.com/problems/image-smoother,Image Smoother,Easy,69.2%,52.0%
