ID,URL,Title,Difficulty,Acceptance %,Frequency %
1861,https://leetcode.com/problems/rotating-the-box,"Rotating the Box",Medium,79.1%,100.0%
2964,https://leetcode.com/problems/number-of-divisible-triplet-sums,"Number of Divisible Triplet Sums",Medium,67.5%,100.0%
3649,https://leetcode.com/problems/number-of-perfect-pairs,"Number of Perfect Pairs",Medium,33.9%,94.0%
71,https://leetcode.com/problems/simplify-path,"Simplify Path",Medium,48.1%,87.5%
2672,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,"Number of Adjacent Elements With the Same Color",Medium,56.1%,87.5%
3161,https://leetcode.com/problems/block-placement-queries,"Block Placement Queries",Hard,17.0%,87.5%
3459,https://leetcode.com/problems/length-of-longest-v-shaped-diagonal-segment,"Length of Longest V-Shaped Diagonal Segment",Hard,33.7%,87.5%
1648,https://leetcode.com/problems/sell-diminishing-valued-colored-balls,"Sell Diminishing-Valued Colored Balls",Medium,30.2%,86.2%
2491,https://leetcode.com/problems/divide-players-into-teams-of-equal-skill,"Divide Players Into Teams of Equal Skill",Medium,68.9%,86.2%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Longest Substring Without Repeating Characters",Medium,38.9%,75.3%
5,https://leetcode.com/problems/longest-palindromic-substring,"Longest Palindromic Substring",Medium,37.7%,75.3%
15,https://leetcode.com/problems/3sum,"3Sum",Medium,38.9%,75.3%
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,51.6%,75.3%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Best Time to Buy and Sell Stock",Easy,56.7%,75.3%
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,55.9%,75.0%
146,https://leetcode.com/problems/lru-cache,"LRU Cache",Medium,45.4%,75.0%
206,https://leetcode.com/problems/reverse-linked-list,"Reverse Linked List",Easy,79.3%,75.0%
3071,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,"Minimum Operations to Write the Letter Y on a Grid",Medium,62.2%,75.0%
49,https://leetcode.com/problems/group-anagrams,"Group Anagrams",Medium,71.1%,62.5%
129,https://leetcode.com/problems/sum-root-to-leaf-numbers,"Sum Root to Leaf Numbers",Medium,68.6%,62.5%
200,https://leetcode.com/problems/number-of-islands,"Number of Islands",Medium,62.5%,62.5%
460,https://leetcode.com/problems/lfu-cache,"LFU Cache",Hard,46.8%,62.5%
792,https://leetcode.com/problems/number-of-matching-subsequences,"Number of Matching Subsequences",Medium,50.7%,62.5%
2768,https://leetcode.com/problems/number-of-black-blocks,"Number of Black Blocks",Medium,38.9%,62.5%
