ID,URL,Title,Difficulty,Acceptance %,Frequency %
849,https://leetcode.com/problems/maximize-distance-to-closest-person,Maximize Distance to Closest Person,Medium,49.7%,100.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,90.8%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,53.1%,87.5%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,81.6%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.8%,81.6%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,53.2%,75.0%
228,https://leetcode.com/problems/summary-ranges,Summary Ranges,Easy,54.1%,75.0%
1493,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,Longest Subarray of 1's After Deleting One Element,Medium,71.2%,75.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,65.9%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,65.9%
101,https://leetcode.com/problems/symmetric-tree,Symmetric Tree,Easy,61.1%,65.9%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,65.9%
165,https://leetcode.com/problems/compare-version-numbers,Compare Version Numbers,Medium,46.3%,65.9%
567,https://leetcode.com/problems/permutation-in-string,Permutation in String,Medium,48.7%,65.9%
