ID,URL,Title,Difficulty,Acceptance %,Frequency %
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,100.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,97.1%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,93.8%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,93.8%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,88.0%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.6%,88.0%
2406,https://leetcode.com/problems/divide-intervals-into-minimum-number-of-groups,Divide Intervals Into Minimum Number of Groups,Medium,63.6%,85.7%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.4%,83.2%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,83.2%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,83.2%
876,https://leetcode.com/problems/middle-of-the-linked-list,Middle of the Linked List,Easy,81.8%,83.2%
1238,https://leetcode.com/problems/circular-permutation-in-binary-representation,Circular Permutation in Binary Representation,Medium,72.6%,83.2%
1486,https://leetcode.com/problems/xor-operation-in-an-array,XOR Operation in an Array,Easy,87.5%,83.2%
1977,https://leetcode.com/problems/number-of-ways-to-separate-numbers,Number of Ways to Separate Numbers,Hard,21.6%,83.2%
2071,https://leetcode.com/problems/maximum-number-of-tasks-you-can-assign,Maximum Number of Tasks You Can Assign,Hard,50.0%,83.2%
2072,https://leetcode.com/problems/the-winner-university,The Winner University,Easy,75.6%,83.2%
2179,https://leetcode.com/problems/count-good-triplets-in-an-array,Count Good Triplets in an Array,Hard,65.6%,83.2%
2449,https://leetcode.com/problems/minimum-number-of-operations-to-make-arrays-similar,Minimum Number of Operations to Make Arrays Similar,Hard,61.4%,83.2%
2541,https://leetcode.com/problems/minimum-operations-to-make-array-equal-ii,Minimum Operations to Make Array Equal II,Medium,33.1%,83.2%
3005,https://leetcode.com/problems/count-elements-with-maximum-frequency,Count Elements With Maximum Frequency,Easy,79.8%,83.2%
3090,https://leetcode.com/problems/maximum-length-substring-with-two-occurrences,Maximum Length Substring With Two Occurrences,Easy,65.4%,83.2%
3179,https://leetcode.com/problems/find-the-n-th-value-after-k-seconds,Find the N-th Value After K Seconds,Medium,53.9%,83.2%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,80.5%
139,https://leetcode.com/problems/word-break,Word Break,Medium,49.4%,80.5%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.1%,77.4%
3696,https://leetcode.com/problems/maximum-distance-between-unequal-words-in-array-i,Maximum Distance Between Unequal Words in Array I,Easy,82.7%,77.4%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,73.9%
36,https://leetcode.com/problems/valid-sudoku,Valid Sudoku,Medium,64.4%,73.9%
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,76.4%,73.9%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.9%,73.9%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,48.3%,73.9%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.9%,69.9%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,56.6%,69.9%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,69.9%
300,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,Medium,59.3%,69.9%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.3%,69.9%
716,https://leetcode.com/problems/max-stack,Max Stack,Hard,46.0%,69.9%
