ID,URL,Title,Difficulty,Acceptance %,Frequency %
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,49.5%,100.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,45.4%,100.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,100.0%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,55.9%,87.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,42.4%,87.5%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,43.0%,87.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,65.3%,87.5%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.0%,87.5%
139,https://leetcode.com/problems/word-break,Word Break,Medium,48.4%,87.5%
498,https://leetcode.com/problems/diagonal-traverse,Diagonal Traverse,Medium,63.3%,87.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,85.5%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,49.0%,85.5%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.2%,85.5%
870,https://leetcode.com/problems/advantage-shuffle,Advantage Shuffle,Medium,54.4%,85.5%
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,68.8%,75.0%
73,https://leetcode.com/problems/set-matrix-zeroes,Set Matrix Zeroes,Medium,60.9%,75.0%
106,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal,Construct Binary Tree from Inorder and Postorder Traversal,Medium,66.3%,75.0%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,46.7%,75.0%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,56.8%,75.0%
1329,https://leetcode.com/problems/sort-the-matrix-diagonally,Sort the Matrix Diagonally,Medium,83.0%,75.0%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,74.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.9%,74.0%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.6%,74.0%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,53.1%,74.0%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.3%,74.0%
332,https://leetcode.com/problems/reconstruct-itinerary,Reconstruct Itinerary,Hard,44.5%,74.0%
567,https://leetcode.com/problems/permutation-in-string,Permutation in String,Medium,48.7%,74.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.6%,70.5%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,69.6%,70.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.8%,70.5%
713,https://leetcode.com/problems/subarray-product-less-than-k,Subarray Product Less Than K,Medium,54.3%,70.5%
15,https://leetcode.com/problems/3sum,3Sum,Medium,37.2%,62.5%
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,74.9%,62.5%
50,https://leetcode.com/problems/powx-n,"Pow(x, n)",Medium,37.2%,62.5%
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,45.5%,62.5%
79,https://leetcode.com/problems/word-search,Word Search,Medium,45.4%,62.5%
91,https://leetcode.com/problems/decode-ways,Decode Ways,Medium,36.6%,62.5%
103,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,Medium,61.9%,62.5%
341,https://leetcode.com/problems/flatten-nested-list-iterator,Flatten Nested List Iterator,Medium,65.3%,62.5%
362,https://leetcode.com/problems/design-hit-counter,Design Hit Counter,Medium,69.2%,62.5%
490,https://leetcode.com/problems/the-maze,The Maze,Medium,59.6%,62.5%
543,https://leetcode.com/problems/diameter-of-binary-tree,Diameter of Binary Tree,Easy,63.8%,62.5%
1209,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,Remove All Adjacent Duplicates in String II,Medium,59.7%,62.5%
