ID,URL,Title,Difficulty,Acceptance %,Frequency %
149,https://leetcode.com/problems/max-points-on-a-line,Max Points on a Line,Hard,30.6%,100.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,74.6%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.6%,74.6%
359,https://leetcode.com/problems/logger-rate-limiter,Logger Rate Limiter,Easy,76.8%,74.6%
317,https://leetcode.com/problems/shortest-distance-from-all-buildings,Shortest Distance from All Buildings,Hard,44.9%,68.0%
348,https://leetcode.com/problems/design-tic-tac-toe,Design Tic-Tac-Toe,Medium,58.8%,68.0%
528,https://leetcode.com/problems/random-pick-with-weight,Random Pick with Weight,Medium,49.0%,68.0%
631,https://leetcode.com/problems/design-excel-sum-formula,Design Excel Sum Formula,Hard,39.9%,68.0%
871,https://leetcode.com/problems/minimum-number-of-refueling-stops,Minimum Number of Refueling Stops,Hard,41.3%,68.0%
939,https://leetcode.com/problems/minimum-area-rectangle,Minimum Area Rectangle,Medium,55.4%,68.0%
1197,https://leetcode.com/problems/minimum-knight-moves,Minimum Knight Moves,Medium,41.9%,68.0%
1944,https://leetcode.com/problems/number-of-visible-people-in-a-queue,Number of Visible People in a Queue,Hard,72.9%,68.0%
886,https://leetcode.com/problems/possible-bipartition,Possible Bipartition,Medium,51.6%,62.5%
10,https://leetcode.com/problems/regular-expression-matching,Regular Expression Matching,Hard,30.8%,58.6%
36,https://leetcode.com/problems/valid-sudoku,Valid Sudoku,Medium,64.4%,58.6%
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,50.9%,58.6%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,49.7%,58.6%
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,46.9%,58.6%
269,https://leetcode.com/problems/alien-dictionary,Alien Dictionary,Hard,37.2%,58.6%
1296,https://leetcode.com/problems/divide-array-in-sets-of-k-consecutive-numbers,Divide Array in Sets of K Consecutive Numbers,Medium,59.2%,58.6%
1631,https://leetcode.com/problems/path-with-minimum-effort,Path With Minimum Effort,Medium,63.1%,58.6%
2008,https://leetcode.com/problems/maximum-earnings-from-taxi,Maximum Earnings From Taxi,Medium,46.4%,58.6%
304,https://leetcode.com/problems/range-sum-query-2d-immutable,Range Sum Query 2D - Immutable,Medium,58.3%,58.4%
305,https://leetcode.com/problems/number-of-islands-ii,Number of Islands II,Hard,40.6%,58.4%
489,https://leetcode.com/problems/robot-room-cleaner,Robot Room Cleaner,Hard,78.0%,58.4%
853,https://leetcode.com/problems/car-fleet,Car Fleet,Medium,55.1%,58.4%
164,https://leetcode.com/problems/maximum-gap,Maximum Gap,Medium,52.4%,58.0%
64,https://leetcode.com/problems/minimum-path-sum,Minimum Path Sum,Medium,68.8%,57.6%
229,https://leetcode.com/problems/majority-element-ii,Majority Element II,Medium,56.7%,57.6%
622,https://leetcode.com/problems/design-circular-queue,Design Circular Queue,Medium,55.3%,57.6%
715,https://leetcode.com/problems/range-module,Range Module,Hard,45.5%,57.6%
