ID,URL,Title,Difficulty,Acceptance %,Frequency %
1307,https://leetcode.com/problems/verbal-arithmetic-puzzle,Verbal Arithmetic Puzzle,Hard,34.8%,100.0%
2812,https://leetcode.com/problems/find-the-safest-path-in-a-grid,Find the Safest Path in a Grid,Medium,48.4%,87.5%
796,https://leetcode.com/problems/rotate-string,Rotate String,Easy,65.4%,81.6%
2892,https://leetcode.com/problems/minimizing-array-after-replacing-pairs-with-their-product,Minimizing Array After Replacing Pairs With Their Product,Medium,40.7%,81.6%
2904,https://leetcode.com/problems/shortest-and-lexicographically-smallest-beautiful-string,Shortest and Lexicographically Smallest Beautiful String,Medium,41.0%,81.6%
15,https://leetcode.com/problems/3sum,3Sum,Medium,37.2%,75.0%
38,https://leetcode.com/problems/count-and-say,Count and Say,Medium,60.7%,75.0%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,69.6%,75.0%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.4%,70.9%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,70.9%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,70.9%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,56.6%,70.9%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,70.9%
160,https://leetcode.com/problems/intersection-of-two-linked-lists,Intersection of Two Linked Lists,Easy,63.6%,70.9%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,70.9%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,68.8%,70.9%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.6%,70.9%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,49.0%,70.9%
703,https://leetcode.com/problems/kth-largest-element-in-a-stream,Kth Largest Element in a Stream,Easy,60.9%,70.9%
844,https://leetcode.com/problems/backspace-string-compare,Backspace String Compare,Easy,49.9%,70.9%
1768,https://leetcode.com/problems/merge-strings-alternately,Merge Strings Alternately,Easy,82.1%,70.9%
1953,https://leetcode.com/problems/maximum-number-of-weeks-for-which-you-can-work,Maximum Number of Weeks for Which You Can Work,Medium,42.4%,70.9%
2062,https://leetcode.com/problems/count-vowel-substrings-of-a-string,Count Vowel Substrings of a String,Easy,73.1%,70.9%
2696,https://leetcode.com/problems/minimum-string-length-after-removing-substrings,Minimum String Length After Removing Substrings,Easy,77.2%,70.9%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.8%,70.6%
2008,https://leetcode.com/problems/maximum-earnings-from-taxi,Maximum Earnings From Taxi,Medium,46.5%,70.6%
