ID,URL,Title,Difficulty,Acceptance %,Frequency %
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,70.8%,100.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,95.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,90.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.9%,87.8%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,48.3%,85.5%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.4%,85.5%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,85.5%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,85.5%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,68.2%,85.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,85.5%
50,https://leetcode.com/problems/powx-n,"Pow(x, n)",Medium,38.6%,85.5%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,85.5%
98,https://leetcode.com/problems/validate-binary-search-tree,Validate Binary Search Tree,Medium,35.6%,85.5%
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,42.2%,85.5%
133,https://leetcode.com/problems/clone-graph,Clone Graph,Medium,65.1%,85.5%
138,https://leetcode.com/problems/copy-list-with-random-pointer,Copy List with Random Pointer,Medium,62.7%,85.5%
181,https://leetcode.com/problems/employees-earning-more-than-their-managers,Employees Earning More Than Their Managers,Easy,73.1%,85.5%
199,https://leetcode.com/problems/binary-tree-right-side-view,Binary Tree Right Side View,Medium,70.0%,85.5%
236,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,Medium,69.1%,85.5%
243,https://leetcode.com/problems/shortest-word-distance,Shortest Word Distance,Easy,66.3%,85.5%
249,https://leetcode.com/problems/group-shifted-strings,Group Shifted Strings,Medium,67.8%,85.5%
269,https://leetcode.com/problems/alien-dictionary,Alien Dictionary,Hard,37.2%,85.5%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.8%,85.5%
336,https://leetcode.com/problems/palindrome-pairs,Palindrome Pairs,Hard,37.1%,85.5%
342,https://leetcode.com/problems/power-of-four,Power of Four,Easy,52.0%,85.5%
349,https://leetcode.com/problems/intersection-of-two-arrays,Intersection of Two Arrays,Easy,77.7%,85.5%
392,https://leetcode.com/problems/is-subsequence,Is Subsequence,Easy,49.0%,85.5%
543,https://leetcode.com/problems/diameter-of-binary-tree,Diameter of Binary Tree,Easy,65.4%,85.5%
705,https://leetcode.com/problems/design-hashset,Design HashSet,Easy,68.0%,85.5%
783,https://leetcode.com/problems/minimum-distance-between-bst-nodes,Minimum Distance Between BST Nodes,Easy,61.3%,85.5%
804,https://leetcode.com/problems/unique-morse-code-words,Unique Morse Code Words,Easy,83.6%,85.5%
811,https://leetcode.com/problems/subdomain-visit-count,Subdomain Visit Count,Medium,77.2%,85.5%
863,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,All Nodes Distance K in Binary Tree,Medium,67.6%,85.5%
929,https://leetcode.com/problems/unique-email-addresses,Unique Email Addresses,Easy,67.9%,85.5%
953,https://leetcode.com/problems/verifying-an-alien-dictionary,Verifying an Alien Dictionary,Easy,55.9%,85.5%
973,https://leetcode.com/problems/k-closest-points-to-origin,K Closest Points to Origin,Medium,68.9%,85.5%
1048,https://leetcode.com/problems/longest-string-chain,Longest String Chain,Medium,63.0%,85.5%
1169,https://leetcode.com/problems/invalid-transactions,Invalid Transactions,Medium,32.2%,85.5%
1268,https://leetcode.com/problems/search-suggestions-system,Search Suggestions System,Medium,65.2%,85.5%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.5%,82.9%
420,https://leetcode.com/problems/strong-password-checker,Strong Password Checker,Hard,15.7%,79.9%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,62.5%,76.6%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,66.5%,72.8%
78,https://leetcode.com/problems/subsets,Subsets,Medium,82.3%,68.3%
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,38.4%,68.3%
423,https://leetcode.com/problems/reconstruct-original-digits-from-english,Reconstruct Original Digits from English,Medium,52.8%,68.3%
789,https://leetcode.com/problems/escape-the-ghosts,Escape The Ghosts,Medium,63.6%,62.8%
1162,https://leetcode.com/problems/as-far-from-land-as-possible,As Far from Land as Possible,Medium,52.3%,62.8%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,55.9%,50.0%
118,https://leetcode.com/problems/pascals-triangle,Pascal's Triangle,Easy,77.1%,50.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,45.9%
38,https://leetcode.com/problems/count-and-say,Count and Say,Medium,62.7%,45.9%
79,https://leetcode.com/problems/word-search,Word Search,Medium,47.2%,45.9%
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,46.9%,45.9%
317,https://leetcode.com/problems/shortest-distance-from-all-buildings,Shortest Distance from All Buildings,Hard,44.9%,45.9%
509,https://leetcode.com/problems/fibonacci-number,Fibonacci Number,Easy,74.1%,45.9%
1650,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii,Lowest Common Ancestor of a Binary Tree III,Medium,83.0%,45.9%
2814,https://leetcode.com/problems/minimum-time-takes-to-reach-destination-without-drowning,Minimum Time Takes to Reach Destination Without Drowning,Hard,54.6%,45.9%
