ID,URL,Title,Difficulty,Acceptance %,Frequency %
12,https://leetcode.com/problems/integer-to-roman,"Integer to Roman",Medium,70.8%,100.0%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,"Median of Two Sorted Arrays",Hard,46.4%,86.9%
994,https://leetcode.com/problems/rotting-oranges,"Rotting Oranges",Medium,58.5%,84.6%
420,https://leetcode.com/problems/strong-password-checker,"Strong Password Checker",Hard,15.7%,81.9%
394,https://leetcode.com/problems/decode-string,"Decode String",Medium,62.5%,79.0%
13,https://leetcode.com/problems/roman-to-integer,"Roman to Integer",Easy,66.5%,75.5%
200,https://leetcode.com/problems/number-of-islands,"Number of Islands",Medium,64.2%,75.5%
78,https://leetcode.com/problems/subsets,"Subsets",Medium,82.3%,71.5%
212,https://leetcode.com/problems/word-search-ii,"Word Search II",Hard,38.4%,71.5%
423,https://leetcode.com/problems/reconstruct-original-digits-from-english,"Reconstruct Original Digits from English",Medium,52.8%,71.5%
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,51.6%,66.5%
789,https://leetcode.com/problems/escape-the-ghosts,"Escape The Ghosts",Medium,63.6%,66.5%
1162,https://leetcode.com/problems/as-far-from-land-as-possible,"As Far from Land as Possible",Medium,52.3%,66.5%
11,https://leetcode.com/problems/container-with-most-water,"Container With Most Water",Medium,59.9%,60.1%
2,https://leetcode.com/problems/add-two-numbers,"Add Two Numbers",Medium,48.3%,51.2%
5,https://leetcode.com/problems/longest-palindromic-substring,"Longest Palindromic Substring",Medium,37.7%,51.2%
15,https://leetcode.com/problems/3sum,"3Sum",Medium,38.9%,51.2%
20,https://leetcode.com/problems/valid-parentheses,"Valid Parentheses",Easy,44.1%,51.2%
21,https://leetcode.com/problems/merge-two-sorted-lists,"Merge Two Sorted Lists",Easy,68.2%,51.2%
38,https://leetcode.com/problems/count-and-say,"Count and Say",Medium,62.7%,51.2%
42,https://leetcode.com/problems/trapping-rain-water,"Trapping Rain Water",Hard,67.2%,51.2%
50,https://leetcode.com/problems/powx-n,"Pow(x, n)",Medium,38.6%,51.2%
53,https://leetcode.com/problems/maximum-subarray,"Maximum Subarray",Medium,53.2%,51.2%
79,https://leetcode.com/problems/word-search,"Word Search",Medium,47.2%,51.2%
98,https://leetcode.com/problems/validate-binary-search-tree,"Validate Binary Search Tree",Medium,35.6%,51.2%
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Binary Tree Maximum Path Sum",Hard,42.2%,51.2%
133,https://leetcode.com/problems/clone-graph,"Clone Graph",Medium,65.1%,51.2%
138,https://leetcode.com/problems/copy-list-with-random-pointer,"Copy List with Random Pointer",Medium,62.7%,51.2%
162,https://leetcode.com/problems/find-peak-element,"Find Peak Element",Medium,46.9%,51.2%
181,https://leetcode.com/problems/employees-earning-more-than-their-managers,"Employees Earning More Than Their Managers",Easy,73.1%,51.2%
199,https://leetcode.com/problems/binary-tree-right-side-view,"Binary Tree Right Side View",Medium,70.0%,51.2%
236,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Lowest Common Ancestor of a Binary Tree",Medium,69.1%,51.2%
243,https://leetcode.com/problems/shortest-word-distance,"Shortest Word Distance",Easy,66.3%,51.2%
249,https://leetcode.com/problems/group-shifted-strings,"Group Shifted Strings",Medium,67.8%,51.2%
269,https://leetcode.com/problems/alien-dictionary,"Alien Dictionary",Hard,37.2%,51.2%
283,https://leetcode.com/problems/move-zeroes,"Move Zeroes",Easy,63.8%,51.2%
317,https://leetcode.com/problems/shortest-distance-from-all-buildings,"Shortest Distance from All Buildings",Hard,44.9%,51.2%
336,https://leetcode.com/problems/palindrome-pairs,"Palindrome Pairs",Hard,37.1%,51.2%
342,https://leetcode.com/problems/power-of-four,"Power of Four",Easy,52.0%,51.2%
349,https://leetcode.com/problems/intersection-of-two-arrays,"Intersection of Two Arrays",Easy,77.7%,51.2%
392,https://leetcode.com/problems/is-subsequence,"Is Subsequence",Easy,49.0%,51.2%
509,https://leetcode.com/problems/fibonacci-number,"Fibonacci Number",Easy,74.1%,51.2%
543,https://leetcode.com/problems/diameter-of-binary-tree,"Diameter of Binary Tree",Easy,65.4%,51.2%
705,https://leetcode.com/problems/design-hashset,"Design HashSet",Easy,68.0%,51.2%
783,https://leetcode.com/problems/minimum-distance-between-bst-nodes,"Minimum Distance Between BST Nodes",Easy,61.3%,51.2%
804,https://leetcode.com/problems/unique-morse-code-words,"Unique Morse Code Words",Easy,83.6%,51.2%
811,https://leetcode.com/problems/subdomain-visit-count,"Subdomain Visit Count",Medium,77.2%,51.2%
863,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"All Nodes Distance K in Binary Tree",Medium,67.6%,51.2%
929,https://leetcode.com/problems/unique-email-addresses,"Unique Email Addresses",Easy,67.9%,51.2%
953,https://leetcode.com/problems/verifying-an-alien-dictionary,"Verifying an Alien Dictionary",Easy,55.9%,51.2%
973,https://leetcode.com/problems/k-closest-points-to-origin,"K Closest Points to Origin",Medium,68.9%,51.2%
1048,https://leetcode.com/problems/longest-string-chain,"Longest String Chain",Medium,63.0%,51.2%
1169,https://leetcode.com/problems/invalid-transactions,"Invalid Transactions",Medium,32.2%,51.2%
1268,https://leetcode.com/problems/search-suggestions-system,"Search Suggestions System",Medium,65.2%,51.2%
1650,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii,"Lowest Common Ancestor of a Binary Tree III",Medium,83.0%,51.2%
2814,https://leetcode.com/problems/minimum-time-takes-to-reach-destination-without-drowning,"Minimum Time Takes to Reach Destination Without Drowning",Hard,54.6%,51.2%
118,https://leetcode.com/problems/pascals-triangle,"Pascal's Triangle",Easy,77.1%,50.0%
