ID,URL,Title,Difficulty,Acceptance %,Frequency %
528,https://leetcode.com/problems/random-pick-with-weight,"Random Pick with Weight",Medium,48.3%,100.0%
2038,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color,"Remove Colored Pieces if Both Neighbors are the Same Color",Medium,63.1%,100.0%
1436,https://leetcode.com/problems/destination-city,"Destination City",Easy,79.5%,79.4%
2696,https://leetcode.com/problems/minimum-string-length-after-removing-substrings,"Minimum String Length After Removing Substrings",Easy,77.1%,75.0%
1333,https://leetcode.com/problems/filter-restaurants-by-vegan-friendly-price-and-distance,"Filter Restaurants by Vegan-Friendly, Price and Distance",Medium,64.1%,72.9%
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,57.4%,63.8%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Longest Substring Without Repeating Characters",Medium,38.9%,63.8%
14,https://leetcode.com/problems/longest-common-prefix,"Longest Common Prefix",Easy,47.4%,63.8%
49,https://leetcode.com/problems/group-anagrams,"Group Anagrams",Medium,72.5%,63.8%
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,51.6%,63.8%
126,https://leetcode.com/problems/word-ladder-ii,"Word Ladder II",Hard,27.6%,63.8%
127,https://leetcode.com/problems/word-ladder,"Word Ladder",Hard,45.4%,63.8%
151,https://leetcode.com/problems/reverse-words-in-a-string,"Reverse Words in a String",Medium,56.2%,63.8%
206,https://leetcode.com/problems/reverse-linked-list,"Reverse Linked List",Easy,80.5%,63.8%
207,https://leetcode.com/problems/course-schedule,"Course Schedule",Medium,51.3%,63.8%
218,https://leetcode.com/problems/the-skyline-problem,"The Skyline Problem",Hard,45.2%,63.8%
242,https://leetcode.com/problems/valid-anagram,"Valid Anagram",Easy,68.0%,63.8%
347,https://leetcode.com/problems/top-k-frequent-elements,"Top K Frequent Elements",Medium,66.3%,63.8%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,"Insert Delete GetRandom O(1)",Medium,55.3%,63.8%
381,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,"Insert Delete GetRandom O(1) - Duplicates allowed",Hard,36.5%,63.8%
394,https://leetcode.com/problems/decode-string,"Decode String",Medium,62.5%,63.8%
443,https://leetcode.com/problems/string-compression,"String Compression",Medium,59.9%,63.8%
564,https://leetcode.com/problems/find-the-closest-palindrome,"Find the Closest Palindrome",Hard,31.9%,63.8%
599,https://leetcode.com/problems/minimum-index-sum-of-two-lists,"Minimum Index Sum of Two Lists",Easy,59.7%,63.8%
692,https://leetcode.com/problems/top-k-frequent-words,"Top K Frequent Words",Medium,60.1%,63.8%
784,https://leetcode.com/problems/letter-case-permutation,"Letter Case Permutation",Medium,75.8%,63.8%
1126,https://leetcode.com/problems/active-businesses,"Active Businesses",Medium,66.0%,63.8%
1455,https://leetcode.com/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence,"Check If a Word Occurs As a Prefix of Any Word in a Sentence",Easy,68.8%,63.8%
2904,https://leetcode.com/problems/shortest-and-lexicographically-smallest-beautiful-string,"Shortest and Lexicographically Smallest Beautiful String",Medium,41.0%,63.8%
