ID,URL,Title,Difficulty,Acceptance %,Frequency %
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,56.6%,100.0%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,90.7%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,62.5%,89.7%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,87.4%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,86.1%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,84.8%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,84.8%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,82.0%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.6%,82.0%
165,https://leetcode.com/problems/compare-version-numbers,Compare Version Numbers,Medium,46.3%,82.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,78.7%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,54.0%,78.7%
179,https://leetcode.com/problems/largest-number,Largest Number,Medium,42.9%,78.7%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,78.7%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,76.9%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,79.6%,74.9%
6,https://leetcode.com/problems/zigzag-conversion,Zigzag Conversion,Medium,54.0%,72.7%
10,https://leetcode.com/problems/regular-expression-matching,Regular Expression Matching,Hard,30.8%,72.7%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.4%,72.7%
44,https://leetcode.com/problems/wildcard-matching,Wildcard Matching,Hard,31.8%,72.7%
69,https://leetcode.com/problems/sqrtx,Sqrt(x),Easy,41.7%,72.7%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,66.5%,67.6%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.9%,64.5%
36,https://leetcode.com/problems/valid-sudoku,Valid Sudoku,Medium,64.4%,64.5%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,46.8%,64.5%
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,68.6%,64.5%
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,48.4%,62.5%
32,https://leetcode.com/problems/longest-valid-parentheses,Longest Valid Parentheses,Hard,38.6%,61.0%
45,https://leetcode.com/problems/jump-game-ii,Jump Game II,Medium,42.7%,61.0%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,54.7%,61.0%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,68.8%,61.0%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.5%,61.0%
16,https://leetcode.com/problems/3sum-closest,3Sum Closest,Medium,48.4%,56.9%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,65.9%,56.9%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.4%,56.9%
171,https://leetcode.com/problems/excel-sheet-column-number,Excel Sheet Column Number,Easy,67.6%,56.9%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.8%,56.9%
1299,https://leetcode.com/problems/replace-elements-with-greatest-element-on-right-side,Replace Elements with Greatest Element on Right Side,Easy,72.1%,56.9%
2164,https://leetcode.com/problems/sort-even-and-odd-indices-independently,Sort Even and Odd Indices Independently,Easy,63.3%,56.9%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,60.5%,51.8%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,51.8%
28,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,Find the Index of the First Occurrence in a String,Easy,46.5%,51.8%
38,https://leetcode.com/problems/count-and-say,Count and Say,Medium,62.7%,51.8%
43,https://leetcode.com/problems/multiply-strings,Multiply Strings,Medium,44.0%,51.8%
51,https://leetcode.com/problems/n-queens,N-Queens,Hard,75.4%,51.8%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,51.8%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,40.8%,51.8%
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,60.5%,51.8%
91,https://leetcode.com/problems/decode-ways,Decode Ways,Medium,37.9%,51.8%
118,https://leetcode.com/problems/pascals-triangle,Pascal's Triangle,Easy,78.9%,51.8%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,53.2%,51.8%
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,47.9%,51.8%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,44.8%,51.8%
205,https://leetcode.com/problems/isomorphic-strings,Isomorphic Strings,Easy,48.3%,51.8%
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,38.4%,51.8%
