ID,URL,Title,Difficulty,Acceptance %,Frequency %
2147,https://leetcode.com/problems/number-of-ways-to-divide-a-long-corridor,Number of Ways to Divide a Long Corridor,Hard,54.6%,100.0%
2505,https://leetcode.com/problems/bitwise-or-of-all-subsequence-sums,Bitwise OR of All Subsequence Sums,Medium,64.1%,100.0%
2584,https://leetcode.com/problems/split-the-array-to-make-coprime-products,Split the Array to Make Coprime Products,Hard,28.7%,100.0%
2608,https://leetcode.com/problems/shortest-cycle-in-a-graph,Shortest Cycle in a Graph,Hard,39.5%,100.0%
2931,https://leetcode.com/problems/maximum-spending-after-buying-items,Maximum Spending After Buying Items,Hard,61.1%,100.0%
2145,https://leetcode.com/problems/count-the-hidden-sequences,Count the Hidden Sequences,Medium,56.7%,90.9%
2462,https://leetcode.com/problems/total-cost-to-hire-k-workers,Total Cost to Hire K Workers,Medium,43.2%,87.5%
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,42.8%,76.7%
741,https://leetcode.com/problems/cherry-pickup,Cherry Pickup,Hard,38.0%,75.0%
890,https://leetcode.com/problems/find-and-replace-pattern,Find and Replace Pattern,Medium,76.8%,75.0%
2747,https://leetcode.com/problems/count-zero-request-servers,Count Zero Request Servers,Medium,34.3%,75.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,69.4%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,69.4%
626,https://leetcode.com/problems/exchange-seats,Exchange Seats,Medium,74.1%,69.4%
40,https://leetcode.com/problems/combination-sum-ii,Combination Sum II,Medium,57.8%,62.5%
45,https://leetcode.com/problems/jump-game-ii,Jump Game II,Medium,41.6%,62.5%
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,65.9%,62.5%
63,https://leetcode.com/problems/unique-paths-ii,Unique Paths II,Medium,43.3%,62.5%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,47.6%,62.5%
403,https://leetcode.com/problems/frog-jump,Frog Jump,Hard,46.6%,62.5%
465,https://leetcode.com/problems/optimal-account-balancing,Optimal Account Balancing,Hard,50.0%,62.5%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,59.1%
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,76.4%,59.1%
46,https://leetcode.com/problems/permutations,Permutations,Medium,81.8%,59.1%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,59.1%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,59.1%
167,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,Two Sum II - Input Array Is Sorted,Medium,64.9%,59.1%
205,https://leetcode.com/problems/isomorphic-strings,Isomorphic Strings,Easy,48.3%,59.1%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.3%,59.1%
218,https://leetcode.com/problems/the-skyline-problem,The Skyline Problem,Hard,45.2%,59.1%
221,https://leetcode.com/problems/maximal-square,Maximal Square,Medium,50.2%,59.1%
240,https://leetcode.com/problems/search-a-2d-matrix-ii,Search a 2D Matrix II,Medium,57.2%,59.1%
260,https://leetcode.com/problems/single-number-iii,Single Number III,Medium,70.3%,59.1%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.8%,59.1%
335,https://leetcode.com/problems/self-crossing,Self Crossing,Hard,34.7%,59.1%
358,https://leetcode.com/problems/rearrange-string-k-distance-apart,Rearrange String k Distance Apart,Hard,39.9%,59.1%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,49.0%,59.1%
540,https://leetcode.com/problems/single-element-in-a-sorted-array,Single Element in a Sorted Array,Medium,59.2%,59.1%
815,https://leetcode.com/problems/bus-routes,Bus Routes,Hard,47.3%,59.1%
909,https://leetcode.com/problems/snakes-and-ladders,Snakes and Ladders,Medium,48.1%,59.1%
