ID,URL,Title,Difficulty,Acceptance %,Frequency %
2145,https://leetcode.com/problems/count-the-hidden-sequences,Count the Hidden Sequences,Medium,56.7%,100.0%
2462,https://leetcode.com/problems/total-cost-to-hire-k-workers,Total Cost to Hire K Workers,Medium,43.2%,100.0%
741,https://leetcode.com/problems/cherry-pickup,Cherry Pickup,Hard,38.0%,87.5%
890,https://leetcode.com/problems/find-and-replace-pattern,Find and Replace Pattern,Medium,76.8%,87.5%
2747,https://leetcode.com/problems/count-zero-request-servers,Count Zero Request Servers,Medium,34.3%,87.5%
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,42.8%,85.1%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,77.4%
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,65.9%,75.0%
63,https://leetcode.com/problems/unique-paths-ii,Unique Paths II,Medium,43.3%,75.0%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,47.6%,75.0%
403,https://leetcode.com/problems/frog-jump,Frog Jump,Hard,46.6%,75.0%
465,https://leetcode.com/problems/optimal-account-balancing,Optimal Account Balancing,Hard,50.0%,75.0%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,66.7%
46,https://leetcode.com/problems/permutations,Permutations,Medium,81.8%,66.7%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,66.7%
167,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,Two Sum II - Input Array Is Sorted,Medium,64.9%,66.7%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,66.7%
205,https://leetcode.com/problems/isomorphic-strings,Isomorphic Strings,Easy,48.3%,66.7%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.3%,66.7%
218,https://leetcode.com/problems/the-skyline-problem,The Skyline Problem,Hard,45.2%,66.7%
221,https://leetcode.com/problems/maximal-square,Maximal Square,Medium,50.2%,66.7%
260,https://leetcode.com/problems/single-number-iii,Single Number III,Medium,70.3%,66.7%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.8%,66.7%
335,https://leetcode.com/problems/self-crossing,Self Crossing,Hard,34.7%,66.7%
358,https://leetcode.com/problems/rearrange-string-k-distance-apart,Rearrange String k Distance Apart,Hard,39.9%,66.7%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,49.0%,66.7%
540,https://leetcode.com/problems/single-element-in-a-sorted-array,Single Element in a Sorted Array,Medium,59.2%,66.7%
626,https://leetcode.com/problems/exchange-seats,Exchange Seats,Medium,74.1%,66.7%
909,https://leetcode.com/problems/snakes-and-ladders,Snakes and Ladders,Medium,48.1%,66.7%
2147,https://leetcode.com/problems/number-of-ways-to-divide-a-long-corridor,Number of Ways to Divide a Long Corridor,Hard,54.6%,66.7%
2505,https://leetcode.com/problems/bitwise-or-of-all-subsequence-sums,Bitwise OR of All Subsequence Sums,Medium,64.1%,66.7%
2584,https://leetcode.com/problems/split-the-array-to-make-coprime-products,Split the Array to Make Coprime Products,Hard,28.7%,66.7%
2608,https://leetcode.com/problems/shortest-cycle-in-a-graph,Shortest Cycle in a Graph,Hard,39.5%,66.7%
2931,https://leetcode.com/problems/maximum-spending-after-buying-items,Maximum Spending After Buying Items,Hard,61.1%,66.7%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,60.3%,66.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.8%,66.5%
